method,organism,year,paper_count,cumulative_share
single-cell,maize,2019,2,0.006223605245610136
single-cell,maize,2020,2,0.0059594755661501785
single-cell,maize,2021,3,0.007051282051282051
single-cell,maize,2022,2,0.008018327605956471
single-cell,maize,2023,4,0.008963456676626062
single-cell,maize,2024,3,0.008751823296520108
single-cell,non_specific,1990,7,0.0005657479996767154
single-cell,non_specific,1991,5,0.0010222335803731152
single-cell,non_specific,1992,7,0.0015127388535031848
single-cell,non_specific,1993,11,0.0023672374339146216
single-cell,non_specific,1994,6,0.0026952159916148835
single-cell,non_specific,1995,6,0.0030710734132787364
single-cell,non_specific,1996,9,0.003445945945945946
single-cell,non_specific,1997,9,0.004150238638721726
single-cell,non_specific,1998,9,0.0037768898133450106
single-cell,non_specific,1999,13,0.004838900035406586
single-cell,non_specific,2000,11,0.0042874925084136276
single-cell,non_specific,2001,24,0.005120126033871603
single-cell,non_specific,2002,17,0.005525545338336563
single-cell,non_specific,2003,22,0.005728975394785164
single-cell,non_specific,2004,30,0.0058599287987145966
single-cell,non_specific,2005,19,0.006252668822058195
single-cell,non_specific,2006,26,0.006235491011175295
single-cell,non_specific,2007,28,0.006155820696867424
single-cell,non_specific,2008,38,0.006313238670181107
single-cell,non_specific,2009,36,0.006399046868694633
single-cell,non_specific,2010,25,0.006368067167099505
single-cell,non_specific,2011,33,0.00641162291130315
single-cell,non_specific,2012,55,0.006764647889460193
single-cell,non_specific,2013,41,0.007310007355038201
single-cell,non_specific,2014,41,0.007455415766509934
single-cell,non_specific,2015,33,0.008078219047893328
single-cell,non_specific,2016,56,0.008692344538051901
single-cell,non_specific,2017,36,0.009799654836047122
single-cell,non_specific,2018,64,0.008551085880571026
single-cell,non_specific,2019,64,0.008997903177492569
single-cell,non_specific,2020,49,0.009070542593300913
single-cell,non_specific,2021,78,0.010331918573558026
single-cell,non_specific,2022,87,0.011108010047446274
single-cell,non_specific,2023,82,0.0112200356290825
single-cell,non_specific,2024,111,0.014654545005982705
single-cell,other_crop,1992,2,0.0009380863039399625
single-cell,other_crop,1993,1,0.0013856812933025404
single-cell,other_crop,1996,1,0.0016488046166529267
single-cell,other_crop,1997,1,0.001996805111821086
single-cell,other_crop,1998,1,0.002224694104560623
single-cell,other_crop,1999,1,0.0024104683195592287
single-cell,other_crop,2000,2,0.0022767518340500886
single-cell,other_crop,2001,2,0.0026589315929417454
single-cell,other_crop,2002,2,0.003051643192488263
single-cell,other_crop,2004,3,0.003124389767623511
single-cell,other_crop,2005,1,0.0028677462887989206
single-cell,other_crop,2006,2,0.002935269581337865
single-cell,other_crop,2007,2,0.002940764598795687
single-cell,other_crop,2008,2,0.0029124984171204253
single-cell,other_crop,2009,4,0.0029312778199978287
single-cell,other_crop,2010,2,0.0028032866118898017
single-cell,other_crop,2011,2,0.002894761415631712
single-cell,other_crop,2012,4,0.0029888983774551663
single-cell,other_crop,2013,1,0.0029292107404393815
single-cell,other_crop,2014,4,0.0030857054694129445
single-cell,other_crop,2015,3,0.003344741754822651
single-cell,other_crop,2016,4,0.004012635533168275
single-cell,other_crop,2017,5,0.004084197298146403
single-cell,other_crop,2018,4,0.0038035726414453576
single-cell,other_crop,2019,7,0.003762541806020067
single-cell,other_crop,2020,2,0.003635346756152125
single-cell,other_crop,2021,3,0.0038035574449043516
single-cell,other_crop,2022,3,0.004405013028911776
single-cell,other_crop,2023,11,0.004961277831558568
single-cell,other_crop,2024,7,0.005013519603424966
single-cell,other_model_organism,1991,1,0.008547008547008548
single-cell,other_model_organism,1993,1,0.015625
single-cell,other_model_organism,2005,2,0.007029876977152899
single-cell,other_model_organism,2008,2,0.008298755186721992
single-cell,other_model_organism,2010,1,0.00823529411764706
single-cell,other_model_organism,2011,1,0.008008008008008008
single-cell,other_model_organism,2013,4,0.011396011396011397
single-cell,other_model_organism,2014,1,0.011648745519713262
single-cell,other_model_organism,2015,4,0.01521933751119069
single-cell,other_model_organism,2016,3,0.01966568338249754
single-cell,other_model_organism,2017,1,0.021852237252861603
single-cell,other_model_organism,2018,3,0.02497398543184183
single-cell,other_model_organism,2019,5,0.022222222222222223
single-cell,other_model_organism,2021,3,0.02780191138140747
single-cell,other_model_organism,2022,5,0.037487335359675786
single-cell,other_model_organism,2023,4,0.04261954261954262
single-cell,other_model_organism,2024,5,0.04867724867724868
single-cell,potato,1991,1,0.004545454545454545
single-cell,potato,1993,2,0.012244897959183673
single-cell,potato,1998,1,0.014035087719298246
single-cell,potato,2003,1,0.01072961373390558
single-cell,potato,2005,1,0.0106951871657754
single-cell,potato,2007,1,0.011023622047244094
single-cell,potato,2008,1,0.011477761836441894
single-cell,potato,2011,1,0.010895883777239709
single-cell,potato,2013,2,0.010816125860373648
single-cell,potato,2014,1,0.012096774193548387
single-cell,potato,2015,1,0.013800424628450107
single-cell,potato,2021,1,0.011119936457505957
single-cell,potato,2022,4,0.01592920353982301
single-cell,potato,2023,1,0.015873015873015872
single-cell,potato,2024,2,0.01875
single-cell,rice,2000,1,0.00078003120124805
single-cell,rice,2002,3,0.002425712553062462
single-cell,rice,2004,1,0.002577319587628866
single-cell,rice,2005,1,0.002805049088359046
single-cell,rice,2008,1,0.0024475524475524478
single-cell,rice,2010,2,0.002637749120750293
single-cell,rice,2011,1,0.0027019724398811133
single-cell,rice,2012,2,0.002936138977244923
single-cell,rice,2013,3,0.0035302424099788185
single-cell,rice,2014,3,0.004216444132115249
single-cell,rice,2015,5,0.005405405405405406
single-cell,rice,2017,2,0.006177415369409439
single-cell,rice,2018,2,0.005521472392638037
single-cell,rice,2019,1,0.005336382694873261
single-cell,rice,2021,1,0.0049632038336470995
single-cell,rice,2022,7,0.006301417819009277
single-cell,rice,2023,1,0.006693198263386397
single-cell,rice,2024,6,0.006947810631766037
single-cell,soybean,1991,1,0.002028397565922921
single-cell,soybean,2000,1,0.002902757619738752
single-cell,soybean,2001,1,0.0038510911424903724
single-cell,soybean,2006,1,0.004077471967380225
single-cell,soybean,2008,1,0.0036496350364963502
single-cell,soybean,2009,1,0.004261363636363636
single-cell,soybean,2010,1,0.004481434058898848
single-cell,soybean,2012,1,0.004739336492890996
single-cell,soybean,2013,1,0.005402160864345739
single-cell,soybean,2014,1,0.0056625141562853904
single-cell,soybean,2015,3,0.007198228128460687
single-cell,soybean,2016,2,0.009282178217821782
single-cell,soybean,2017,1,0.009264620729588882
single-cell,soybean,2018,2,0.008797653958944282
single-cell,soybean,2020,1,0.0078125
single-cell,soybean,2021,1,0.008061265618702136
single-cell,soybean,2022,2,0.009519688446559932
single-cell,soybean,2023,4,0.01224105461393597
single-cell,soybean,2024,7,0.014556682840758712
single-cell,tobacco,1991,1,0.0024875621890547263
single-cell,tobacco,1993,1,0.005208333333333333
single-cell,tobacco,1994,2,0.008849557522123894
single-cell,tobacco,1996,1,0.010775862068965518
single-cell,tobacco,1997,2,0.015217391304347827
single-cell,tobacco,1998,2,0.017077798861480076
single-cell,tobacco,1999,2,0.01926444833625219
single-cell,tobacco,2000,1,0.021505376344086023
single-cell,tobacco,2001,2,0.024518388791593695
single-cell,tobacco,2003,2,0.03404255319148936
single-cell,tobacco,2004,1,0.03300970873786408
single-cell,tobacco,2005,1,0.03225806451612903
single-cell,tobacco,2006,1,0.029185867895545316
single-cell,tobacco,2010,1,0.02336448598130841
single-cell,tobacco,2011,1,0.022245762711864406
single-cell,tobacco,2012,2,0.021759697256385997
single-cell,tobacco,2013,5,0.028056112224448898
single-cell,tobacco,2015,1,0.037371134020618556
single-cell,tobacco,2017,1,0.05235602094240838
single-cell,tobacco,2019,1,0.050080775444264945
single-cell,tobacco,2020,1,0.047337278106508875
single-cell,tobacco,2023,3,0.046235138705416116
single-cell,tobacco,2024,2,0.04737516005121639
single-cell,tomato,1990,1,0.0031645569620253164
single-cell,tomato,1992,1,0.005714285714285714
single-cell,tomato,1997,1,0.007352941176470588
single-cell,tomato,2000,1,0.00641025641025641
single-cell,tomato,2007,1,0.004347826086956522
single-cell,tomato,2013,1,0.0033003300330033004
single-cell,tomato,2014,1,0.003771551724137931
single-cell,tomato,2015,1,0.004160166406656267
single-cell,tomato,2017,1,0.004966887417218543
single-cell,tomato,2019,1,0.004240882103477523
single-cell,tomato,2020,1,0.004180919802356519
single-cell,tomato,2022,4,0.00556379821958457
single-cell,tomato,2023,1,0.005822416302765648
single-cell,tomato,2024,2,0.006289308176100629
single-cell,wheat,1992,1,0.0012515644555694619
single-cell,wheat,1996,1,0.002320185614849188
single-cell,wheat,1999,2,0.003816793893129771
single-cell,wheat,2001,4,0.004866180048661801
single-cell,wheat,2004,2,0.005208333333333333
single-cell,wheat,2005,3,0.0058505850585058505
single-cell,wheat,2006,1,0.006108202443280977
single-cell,wheat,2007,3,0.0067406819984139575
single-cell,wheat,2010,3,0.0061900340451872485
single-cell,wheat,2011,1,0.006099331977926227
single-cell,wheat,2013,2,0.005840528186896902
single-cell,wheat,2014,1,0.00602258469259724
single-cell,wheat,2015,2,0.006383501104836729
single-cell,wheat,2016,3,0.008162116521249648
single-cell,wheat,2017,2,0.008140756302521009
single-cell,wheat,2018,3,0.007392911502500543
single-cell,wheat,2019,2,0.007395234182415777
single-cell,wheat,2021,1,0.006604784005712246
single-cell,wheat,2022,3,0.00763213127265789
single-cell,wheat,2023,1,0.007978205876629695
single-cell,wheat,2024,1,0.008172796263864565
