cited_work_id,cited_year,citation_count,title,window
W2325668000,1982,135,The nutrient requirements of ruminant livestock,1995-1999
W2119594829,1990,133,"Pulmonary Edema and Hydrothorax in Swine Produced by Fumonisin B1, a Toxic Metabolite of <i>Fusarium Moniliforme</i>",1995-1999
W1979568752,1952,132,Sand and Water Culture Methods Used in the Study of Plant Nutrition,1995-1999
W2161888917,1994,131,Plant responses to atmospheric CO2 enrichment with emphasis on roots and the rhizosphere,1995-1999
W2032805330,1992,130,LEAFY controls floral meristem identity in Arabidopsis,1995-1999
W2329679623,1978,130,Population Biology of Plants.,1995-1999
W2099399906,1994,130,A simple gas production method using a pressure transducer to determine the fermentation kinetics of ruminant feeds,1995-1999
W1554644662,1990,129,Origin and evolution of retroelements based upon their reverse transcriptase sequences.,1995-1999
W2025488932,1979,129,Cloning and characterization of ribosomal RNA genes from wheat and barley,1995-1999
W1974767145,1993,125,"A molecular, isozyme and morphological map of the barley (Hordeum vulgare) genome",1995-1999
W2158937196,1979,124,Replication of an origin-containing derivative of plasmid RK2 dependent on a plasmid function provided in <i>trans</i>,1995-1999
W1808685515,1988,123,Fumonisins--novel mycotoxins with cancer-promoting activity produced by Fusarium moniliforme,1995-1999
W2028419389,1963,122,Spores of mycorrhizal Endogone species extracted from soil by wet sieving and decanting,1995-1999
W2031841608,1995,122,The Ethylene Signal Transduction Pathway in Plants,1995-1999
W2065396611,1991,121,A novel highly unsaturated fatty acid moiety of lipo-oligosaccharide signals determines host specificity of Rhizobium,1995-1999
W2061954020,1993,121,Active Oxygen Species in the Induction of Plant Systemic Acquired Resistance by Salicylic Acid,1995-1999
W2135535811,1993,121,Structure and function of plant cell wall proteins.,1995-1999
W2103200005,1988,121,Metabolism and Physiology of Abscisic Acid,1995-1999
W41673608,1988,120,Lignin peroxidase of Phanerochaete chrysosporium,1995-1999
W1598809600,1989,120,Patterns in Plant Development,1995-1999
W2094108457,1971,118,"Stage of Development Descriptions for Soybeans, <i>Glycine Max</i> (L.) Merrill<sup>1</sup>",1995-1999
W2129810530,1993,117,Mutations in the gene for the red/far-red light receptor phytochrome B alter cell elongation and physiological responses throughout Arabidopsis development.,1995-1999
W4234765823,1984,117,Mycorrhizal Symbiosis.,1995-1999
W2169917233,1979,116,Plant Strategies and Vegetation Processes,1995-1999
W2116788801,1992,116,Superoxide Dismutase and Stress Tolerance,1995-1999
W2106246499,1988,116,Biological Control of Soilborne Plant Pathogens in the Rhizosphere with Bacteria,1995-1999
W2155611044,1971,115,Current Status of the Gene-For-Gene Concept,1995-1999
W2586781288,1958,114,Encyclopedia of plant physiology.,1995-1999
W1985014052,1994,114,Programmed cell death in plants: A pathogen-triggered response activated coordinately with multiple defense functions,1995-1999
W2092388446,1995,113,Structure of the <i>Arabidopsis RPM1</i> Gene Enabling Dual Specificity Disease Resistance,1995-1999
W2170976761,1976,113,Nuclear DNA amounts in angiosperms,1995-1999
W2134859165,1989,113,Acclimation of Photosynthesis to Elevated CO<sub>2</sub> in Five C<sub>3</sub> Species,1995-1999
W1995242543,1994,112,The ABCs of floral homeotic genes,1995-1999
W2124121884,1995,112,Symbiotic Nitrogen Fixation.,1995-1999
W1987003587,1994,111,A Central Role of Salicylic Acid in Plant Disease Resistance,1995-1999
W2164556705,1993,110,Phytochrome A null mutants of Arabidopsis display a wild-type phenotype in white light.,1995-1999
W2084067481,1990,110,Salicylic Acid: A Likely Endogenous Signal in the Resistance Response of Tobacco to Viral Infection,1995-1999
W2166421314,1980,110,"Investigation of chromium, cerium and cobalt as markers in digesta. Rate of passage studies",1995-1999
W2035677903,1994,109,The phytochrome apoprotein family inArabidopsis is encoded by five genes: the sequences and expression ofPHYD andPHYE,1995-1999
W1974224448,1992,109,Manual of Vascular Plants of Northeastern United States and Adjacent Canada,1995-1999
W2539537687,1971,109,A Manual for the Practical Study of Root-Nodule Bacteria.,1995-1999
W1982682630,1993,108,Development of reliable PCR-based markers linked to downy mildew resistance genes in lettuce,1995-1999
W2024880451,1994,108,Cyclic GMP and calcium mediate phytochrome phototransduction,1995-1999
W2114773779,1980,108,The Mineral Nutrition of Wild Plants,1995-1999
W2001856591,1989,108,A small-scale procedure for the rapid isolation of plant RNAs,1995-1999
W1997087247,1991,904,"Methods for Dietary Fiber, Neutral Detergent Fiber, and Nonstarch Polysaccharides in Relation to Animal Nutrition",2000-2004
W2085258124,1970,516,Improved procedures for clearing roots and staining parasitic and vesicular-arbuscular mycorrhizal fungi for rapid assessment of infection,2000-2004
W2319410825,1985,455,Statistical Procedures for Agricultural Research.,2000-2004
W2066394966,1963,436,A TWO‐STAGE TECHNIQUE FOR THE <i>IN VITRO</i> DIGESTION OF FORAGE CROPS,2000-2004
W2006807779,1983,434,A plant DNA minipreparation: Version II,2000-2004
W2144282014,1980,428,AN EVALUATION OF TECHNIQUES FOR MEASURING VESICULAR ARBUSCULAR MYCORRHIZAL INFECTION IN ROOTS,2000-2004
W1577441875,1938,410,The Water-Culture Method for Growing Plants Without Soil,2000-2004
W2164366449,1979,409,The estimation of protein degradability in the rumen from incubation measurements weighted according to rate of passage,2000-2004
W2164671653,1997,398,THE OXIDATIVE BURST IN PLANT DISEASE RESISTANCE,2000-2004
W2159080918,1993,395,Structural models of primary cell walls in flowering plants: consistency of molecular structure with the physical properties of the walls during growth,2000-2004
W2069687969,1961,360,Principles and Procedures of Statistics,2000-2004
W2316564790,1997,349,"Mycorrhizal Symbiosis, 2nd edn.",2000-2004
W2059555945,1994,337,H2O2 from the oxidative burst orchestrates the plant hypersensitive disease resistance response,2000-2004
W1999102617,1991,336,Identification of markers linked to disease-resistance genes by bulked segregant analysis: a rapid method to detect markers in specific genomic regions by using segregating populations.,2000-2004
W1974119162,1970,334,A manual for the practical study of root-nodule bacteria,2000-2004
W2108931188,1996,314,Systemic Acquired Resistance.,2000-2004
W1576511234,1998,307,"Mycorrhizal fungal diversity determines plant biodiversity, ecosystem variability and productivity",2000-2004
W2140031547,1980,306,Mechanisms of Salt Tolerance in Nonhalophytes,2000-2004
W2082091267,1980,301,Rapid isolation of high molecular weight plant DNA,2000-2004
W2065589216,1991,299,Nuclear DNA content of some important plant species,2000-2004
W2102222071,1998,297,A Microsatellite Map of Wheat,2000-2004
W3216089686,1950,287,The Water-Culture Method of Growing Plants without Soil.,2000-2004
W2150539008,1998,286,ASCORBATE AND GLUTATHIONE: Keeping Active Oxygen Under Control,2000-2004
W2174321285,1995,279,Cellular Mechanisms of Aluminum Toxicity and Resistance in Plants,2000-2004
W1564923665,1973,278,Ethylene in plant biology,2000-2004
W2091070751,1999,277,A Species of Small Antisense RNA in Posttranscriptional Gene Silencing in Plants,2000-2004
W2076092946,1996,276,Nested Retrotransposons in the Intergenic Regions of the Maize Genome,2000-2004
W2028823348,1973,271,Rapid determination of free proline for water-stress studies,2000-2004
W2136100942,1996,267,CARBOHYDRATE-MODULATED GENE EXPRESSION IN PLANTS,2000-2004
W2028254759,1995,251,"A Receptor Kinase-Like Protein Encoded by the Rice Disease Resistance Gene, <i>Xa21</i>",2000-2004
W2155611044,1971,249,Current Status of the Gene-For-Gene Concept,2000-2004
W2128175005,1996,248,THE MOLECULAR BASIS OF DEHYDRATION TOLERANCE IN PLANTS,2000-2004
W1595105750,1992,246,A net carbohydrate and protein system for evaluating cattle diets: II. Carbohydrate and protein availability,2000-2004
W2069551150,1995,246,Seeds: Physiology of Development and Germination.,2000-2004
W1980195730,1984,240,"Ribosomal DNA spacer-length polymorphisms in barley: mendelian inheritance, chromosomal location, and population dynamics.",2000-2004
W2169110569,1997,239,MORE EFFICIENT PLANTS: A Consequence of Rising Atmospheric CO<sub>2</sub>?,2000-2004
W3023114460,1997,234,PLANT DISEASE RESISTANCE GENES,2000-2004
W1640080484,1973,231,Responses of Plants to Environmental Stresses,2000-2004
W2127375043,1996,230,Resistance gene-dependent plant defense responses.,2000-2004
W2174475512,1984,227,Ethylene Biosynthesis and its Regulation in Higher Plants,2000-2004
W1987003587,1994,225,A Central Role of Salicylic Acid in Plant Disease Resistance,2000-2004
W2052062475,1998,217,"Two Transcription Factors, DREB1 and DREB2, with an EREBP/AP2 DNA Binding Domain Separate Two Cellular Signal Transduction Pathways in Drought- and Low-Temperature-Responsive Gene Expression, Respectively, in Arabidopsis",2000-2004
W2123036062,1925,213,A Method of Computing the Effectiveness of an Insecticide,2000-2004
W1918260619,2000,209,P<scp>LANT</scp>C<scp>ELLULAR AND</scp>M<scp>OLECULAR</scp>R<scp>ESPONSES TO</scp>H<scp>IGH</scp>S<scp>ALINITY</scp>,2000-2004
W1980630177,1996,209,A member of the KNOTTED class of homeodomain proteins encoded by the STM gene of Arabidopsis,2000-2004
W2146884230,1998,208,SYSTEMIC RESISTANCE INDUCED BY RHIZOSPHERE BACTERIA,2000-2004
W2114766384,1997,200,SYSTEMIC ACQUIRED RESISTANCE,2000-2004
W1587761090,1999,199,"Improving plant drought, salt, and freezing tolerance by gene transfer of a single stress-inducible transcription factor",2000-2004
W2015065370,1993,199,"CTR1, a negative regulator of the ethylene response pathway in arabidopsis, encodes a member of the Raf family of protein kinases",2000-2004
W2963673177,1998,198,Viral pathogenicity determinants are suppressors of transgene silencing in Nicotiana benthamiana,2000-2004
W1999106449,1966,198,Stability Parameters for Comparing Varieties<sup>1</sup>,2000-2004
W2757219142,1963,196,Nutrient requirements of beef cattle,2000-2004
W1978661900,1994,195,Assignment of 30 Microsatellite Loci to the Linkage Map of Arabidopsis,2000-2004
W2171012097,1999,195,PLANT COLD ACCLIMATION: Freezing Tolerance Genes and Regulatory Mechanisms,2000-2004
W2008532143,1994,194,The structure and function of fungal laccases,2000-2004
W2094442337,2000,192,Coordinated plant defense responses in <i>Arabidopsis</i> revealed by microarray analysis,2000-2004
W2142704168,1998,192,ABSCISIC ACID SIGNAL TRANSDUCTION,2000-2004
W620898706,1998,189,Catalogue of gene symbols for wheat,2000-2004
W2003912358,1994,189,The product of the tobacco mosaic virus resistance gene N: Similarity to toll and the interleukin-1 receptor,2000-2004
W2076628997,1999,189,Suppression of gene silencing: A general strategy used by diverse DNA and RNA viruses of plants,2000-2004
W2090936658,1998,186,<i>Arabidopsis CBF1</i> Overexpression Induces <i>COR</i> Genes and Enhances Freezing Tolerance,2000-2004
W1974224448,1992,185,Manual of Vascular Plants of Northeastern United States and Adjacent Canada,2000-2004
W2001856591,1989,185,A small-scale procedure for the rapid isolation of plant RNAs,2000-2004
W2120457905,1998,184,"A meta-analysis of elevated CO 2 effects on woody plant mass, form, and physiology",2000-2004
W2116788801,1992,183,Superoxide Dismutase and Stress Tolerance,2000-2004
W1984017573,1993,183,Map-Based Cloning of a Protein Kinase Gene Conferring Disease Resistance in Tomato,2000-2004
W2099721226,1978,181,The Physiology of Metal Toxicity in Plants,2000-2004
W1993234114,1974,180,R Factor Transfer in Rhizobium leguminosarum,2000-2004
W1575028964,1998,180,Nitric oxide functions as a signal in plant disease resistance,2000-2004
W2130889389,1993,180,ITS primers with enhanced specificity for basidiomycetes ‐ application to the identification of mycorrhizae and rusts,2000-2004
W1997301069,1999,179,Salt Tolerance Conferred by Overexpression of a Vacuolar Na <sup>+</sup> /H <sup>+</sup> Antiport in <i>Arabidopsis</i>,2000-2004
W1512952934,1982,178,Methods of soil analysis. Part 2. Chemical and microbiological properties.,2000-2004
W2137981728,1994,178,"A novel cis-acting element in an Arabidopsis gene is involved in responsiveness to drought, low-temperature, or high-salt stress.",2000-2004
W2089087782,1991,177,Mycorrhizas in ecosystems,2000-2004
W2403669557,1996,177,Phytophthora diseases worldwide,2000-2004
W2070215364,1997,177,The CLAVATA1Gene Encodes a Putative Receptor Kinase That Controls Shoot and Floral Meristem Size in Arabidopsis,2000-2004
W2028419389,1963,177,Spores of mycorrhizal Endogone species extracted from soil by wet sieving and decanting,2000-2004
W2558766452,1999,176,Virus Taxonomy. Seventh Report of the International Committee on Taxomony of Viruses,2000-2004
W2133757548,1999,176,<i>FLOWERING LOCUS C</i> Encodes a Novel MADS Domain Protein That Acts as a Repressor of Flowering,2000-2004
W2019207089,1993,176,<i>Arabidopsis</i> Ethylene-Response Gene <i>ETR1</i> : Similarity of Product to Two-Component Regulators,2000-2004
W2165558713,1998,174,Virus resistance and gene silencing in plants can be induced by simultaneous expression of sense and antisense RNA,2000-2004
W2059291619,1991,173,The war of the whorls: genetic interactions controlling flower development,2000-2004
W2059506482,1995,173,<i>Fusarium</i> ear blight (scab) in small grain cereals—a review,2000-2004
W1979568752,1952,173,Sand and Water Culture Methods Used in the Study of Plant Nutrition,2000-2004
W2115292592,1992,172,High density molecular linkage maps of the tomato and potato genomes.,2000-2004
W2027229485,1983,172,A Broad Host Range Mobilization System for In Vivo Genetic Engineering: Transposon Mutagenesis in Gram Negative Bacteria,2000-2004
W2049469558,1982,172,Plant Productivity and Environment,2000-2004
W2094108457,1971,172,"Stage of Development Descriptions for Soybeans, <i>Glycine Max</i> (L.) Merrill<sup>1</sup>",2000-2004
W2130699672,1998,171,Comparative genetics in the grasses,2000-2004
W1990204893,1998,171,Reactive Oxygen Intermediates Mediate a Systemic Signal Network in the Establishment of Plant Immunity,2000-2004
W2120786757,1996,170,Death Don't Have No Mercy: Cell Death Programs in Plant-Microbe Interactions.,2000-2004
W2106246499,1988,169,Biological Control of Soilborne Plant Pathogens in the Rhizosphere with Bacteria,2000-2004
W2107330252,2000,169,An RNA-Dependent RNA Polymerase Gene in Arabidopsis Is Required for Posttranscriptional Gene Silencing Mediated by a Transgene but Not by a Virus,2000-2004
W2379628519,1964,169,A rapid centrifugal-flotation technique for separating nematodes from soil.,2000-2004
W2062188301,2000,169,Arabidopsis SGS2 and SGS3 Genes Are Required for Posttranscriptional Gene Silencing and Natural Virus Resistance,2000-2004
W2159827069,1994,168,Characterization of an Arabidopsis Mutant That Is Nonresponsive to Inducers of Systemic Acquired Resistance.,2000-2004
W2506364346,1997,166,Avaliação do estado nutricional das plantas: princípios e aplicações,2000-2004
W2038818582,1998,164,Regulation of Polar Auxin Transport by AtPIN1 in <i>Arabidopsis</i> Vascular Tissue,2000-2004
W2059744667,1997,162,A Putative Leucine-Rich Repeat Receptor Kinase Involved in Brassinosteroid Signal Transduction,2000-2004
W2057132428,1998,162,A Counterdefensive Strategy of Plant Viruses,2000-2004
W1997087247,1991,1880,"Methods for Dietary Fiber, Neutral Detergent Fiber, and Nonstarch Polysaccharides in Relation to Animal Nutrition",2005-2009
W2319410825,1985,867,Statistical Procedures for Agricultural Research.,2005-2009
W2085258124,1970,736,Improved procedures for clearing roots and staining parasitic and vesicular-arbuscular mycorrhizal fungi for rapid assessment of infection,2005-2009
W2028823348,1973,688,Rapid determination of free proline for water-stress studies,2005-2009
W1577441875,1938,666,The Water-Culture Method for Growing Plants Without Soil,2005-2009
W1973328229,2001,650,Plant pathogens and integrated defence responses to infection,2005-2009
W2154140763,2002,618,"Oxidative stress, antioxidants and stress tolerance",2005-2009
W2066394966,1963,609,A TWO‐STAGE TECHNIQUE FOR THE <i>IN VITRO</i> DIGESTION OF FORAGE CROPS,2005-2009
W2150539008,1998,581,ASCORBATE AND GLUTATHIONE: Keeping Active Oxygen Under Control,2005-2009
W2006807779,1983,579,A plant DNA minipreparation: Version II,2005-2009
W2139328007,2004,577,"REACTIVE OXYGEN SPECIES: Metabolism, Oxidative Stress, and Signal Transduction",2005-2009
W2102222071,1998,572,A Microsatellite Map of Wheat,2005-2009
W2138032440,2002,555,S<scp>ALT AND</scp> D<scp>ROUGHT</scp> S<scp>TRESS</scp> S<scp>IGNAL</scp> T<scp>RANSDUCTION IN</scp> P<scp>LANTS</scp>,2005-2009
W2144282014,1980,554,AN EVALUATION OF TECHNIQUES FOR MEASURING VESICULAR ARBUSCULAR MYCORRHIZAL INFECTION IN ROOTS,2005-2009
W1918260619,2000,546,P<scp>LANT</scp>C<scp>ELLULAR AND</scp>M<scp>OLECULAR</scp>R<scp>ESPONSES TO</scp>H<scp>IGH</scp>S<scp>ALINITY</scp>,2005-2009
W2164366449,1979,533,The estimation of protein degradability in the rumen from incubation measurements weighted according to rate of passage,2005-2009
W2082091267,1980,533,Rapid isolation of high molecular weight plant DNA,2005-2009
W2105874120,2002,514,Comparative physiology of salt and water stress,2005-2009
W2069551150,1995,499,Seeds: Physiology of Development and Germination.,2005-2009
W2123036062,1925,498,A Method of Computing the Effectiveness of an Insecticide,2005-2009
W1974119162,1970,466,A manual for the practical study of root-nodule bacteria,2005-2009
W2140031547,1980,452,Mechanisms of Salt Tolerance in Nonhalophytes,2005-2009
W144423133,2004,443,MicroRNAs,2005-2009
W2175948239,2005,438,The map-based sequence of the rice genome,2005-2009
W2129742189,2004,431,SYSTEMIC ACQUIRED RESISTANCE,2005-2009
W2171012097,1999,426,PLANT COLD ACCLIMATION: Freezing Tolerance Genes and Regulatory Mechanisms,2005-2009
W3216089686,1950,421,The Water-Culture Method of Growing Plants without Soil.,2005-2009
W2112167962,2004,420,RNA silencing in plants,2005-2009
W1595105750,1992,420,A net carbohydrate and protein system for evaluating cattle diets: II. Carbohydrate and protein availability,2005-2009
W1999102617,1991,416,Identification of markers linked to disease-resistance genes by bulked segregant analysis: a rapid method to detect markers in specific genomic regions by using segregating populations.,2005-2009
W2164671653,1997,411,THE OXIDATIVE BURST IN PLANT DISEASE RESISTANCE,2005-2009
W2316564790,1997,409,"Mycorrhizal Symbiosis, 2nd edn.",2005-2009
W2069687969,1961,405,Principles and Procedures of Statistics,2005-2009
W2157827172,2001,403,Biochemistry &amp; molecular biology of plants,2005-2009
W2757219142,1963,400,Nutrient requirements of beef cattle,2005-2009
W1576511234,1998,394,"Mycorrhizal fungal diversity determines plant biodiversity, ecosystem variability and productivity",2005-2009
W1512952934,1982,388,Methods of soil analysis. Part 2. Chemical and microbiological properties.,2005-2009
W2065589216,1991,386,Nuclear DNA content of some important plant species,2005-2009
W2052062475,1998,385,"Two Transcription Factors, DREB1 and DREB2, with an EREBP/AP2 DNA Binding Domain Separate Two Cellular Signal Transduction Pathways in Drought- and Low-Temperature-Responsive Gene Expression, Respectively, in Arabidopsis",2005-2009
W1980195730,1984,385,"Ribosomal DNA spacer-length polymorphisms in barley: mendelian inheritance, chromosomal location, and population dynamics.",2005-2009
W1999708019,2001,380,Principles of Plant Nutrition,2005-2009
W2008642796,2003,375,"Local, Efflux-Dependent Auxin Gradients as a Common Module for Plant Organ Formation",2005-2009
W2081323661,1962,374,Speed of Germination—Aid In Selection And Evaluation for Seedling Emergence And Vigor<sup>1</sup>,2005-2009
W2403669557,1996,374,Phytophthora diseases worldwide,2005-2009
W2121711582,2005,364,Contrasting Mechanisms of Defense Against Biotrophic and Necrotrophic Pathogens,2005-2009
W2146884230,1998,362,SYSTEMIC RESISTANCE INDUCED BY RHIZOSPHERE BACTERIA,2005-2009
W2097519578,2001,360,"A new fungal phylum, the Glomeromycota: phylogeny and evolution",2005-2009
W2130889389,1993,356,ITS primers with enhanced specificity for basidiomycetes ‐ application to the identification of mycorrhizae and rusts,2005-2009
W2091070751,1999,355,A Species of Small Antisense RNA in Posttranscriptional Gene Silencing in Plants,2005-2009
W2128741925,2003,354,Na+ Tolerance and Na+ Transport in Higher Plants,2005-2009
W2147863419,2002,354,MAP kinase signalling cascade in Arabidopsis innate immunity,2005-2009
W2159080918,1993,352,Structural models of primary cell walls in flowering plants: consistency of molecular structure with the physical properties of the walls during growth,2005-2009
W2157955045,2002,352,Abscisic Acid Signaling in Seeds and Seedlings,2005-2009
W1972633502,2005,350,The F-box protein TIR1 is an auxin receptor,2005-2009
W620898706,1998,341,Catalogue of gene symbols for wheat,2005-2009
W1564923665,1973,341,Ethylene in plant biology,2005-2009
W1899578943,2002,339,"Monitoring the expression profiles of 7000 <i>Arabidopsis</i> genes under drought, cold and high‐salinity stresses using a full‐length cDNA microarray",2005-2009
W2021735982,2004,338,Genetic and Functional Diversification of Small RNA Pathways in Plants,2005-2009
W2031199055,2005,338,The Arabidopsis F-box protein TIR1 is an auxin receptor,2005-2009
W2043496331,2004,337,A high-density microsatellite consensus map for bread wheat (Triticum aestivum L.),2005-2009
W2155611044,1971,333,Current Status of the Gene-For-Gene Concept,2005-2009
W2118720098,2001,326,Plant salt tolerance,2005-2009
W1856751283,1997,324,International survey of herbicide-resistant weeds,2005-2009
W2157039533,2004,323,"Computational Identification of Plant MicroRNAs and Their Targets, Including a Stress-Induced miRNA",2005-2009
W2049469558,1982,322,Plant Productivity and Environment,2005-2009
W2506364346,1997,319,Avaliação do estado nutricional das plantas: princípios e aplicações,2005-2009
W1975288257,2003,318,Regulation of phyllotaxis by polar auxin transport,2005-2009
W2053427298,2005,316,A gene expression map of Arabidopsis thaliana development,2005-2009
W2139582953,2005,315,microRNA-Directed Phasing during Trans-Acting siRNA Biogenesis in Plants,2005-2009
W1999106449,1966,314,Stability Parameters for Comparing Varieties<sup>1</sup>,2005-2009
W2059555945,1994,311,H2O2 from the oxidative burst orchestrates the plant hypersensitive disease resistance response,2005-2009
W2108931188,1996,309,Systemic Acquired Resistance.,2005-2009
W2152506161,2005,309,The PIN auxin efflux facilitator network controls growth and patterning in Arabidopsis roots,2005-2009
W1587761090,1999,305,"Improving plant drought, salt, and freezing tolerance by gene transfer of a single stress-inducible transcription factor",2005-2009
W2146106266,1990,304,A new method which gives an objective measure of colonization of roots by vesicular—arbuscular mycorrhizal fungi,2005-2009
W2106209421,1997,304,Seed Germination and Dormancy.,2005-2009
W1968079819,2003,302,Efflux-dependent auxin gradients establish the apical–basal axis of Arabidopsis,2005-2009
W2160069833,2004,296,Novel and Stress-Regulated MicroRNAs and Other Small RNAs from Arabidopsis[W],2005-2009
W2059291619,1991,295,The war of the whorls: genetic interactions controlling flower development,2005-2009
W1640080484,1973,295,Responses of Plants to Environmental Stresses,2005-2009
W2150431323,1997,295,Aux/IAA proteins repress expression of reporter genes containing natural and highly active synthetic auxin response elements.,2005-2009
W1594647290,1992,294,Árvores brasileiras : manual de identificacão e cultivo de plantas arbóreas nativas do Brasil,2005-2009
W2028419389,1963,294,Spores of mycorrhizal Endogone species extracted from soil by wet sieving and decanting,2005-2009
W2078394714,1999,293,Response to cadmium in higher plants,2005-2009
