year,organism,rank
2019,tobacco,13
2019,other_crop,2
2019,other_model_organism,9
2019,non_specific,1
2020,arabidopsis,6
2020,rice,3
2020,wheat,4
2020,maize,5
2020,soybean,8
2020,tomato,7
2020,barley,12
2020,cotton,9
2020,potato,10
2020,tobacco,13
2020,other_crop,2
2020,other_model_organism,11
2020,non_specific,1
2021,arabidopsis,6
2021,rice,3
2021,wheat,4
2021,maize,5
2021,soybean,8
2021,tomato,7
2021,barley,12
2021,cotton,9
2021,potato,10
2021,tobacco,13
2021,other_crop,2
2021,other_model_organism,11
2021,non_specific,1
2022,arabidopsis,6
2022,rice,3
2022,wheat,4
2022,maize,5
2022,soybean,8
2022,tomato,7
2022,barley,12
2022,cotton,9
2022,potato,10
2022,tobacco,13
2022,other_crop,2
2022,other_model_organism,11
2022,non_specific,1
2023,arabidopsis,6
2023,rice,3
2023,wheat,4
2023,maize,5
2023,soybean,8
2023,tomato,7
2023,barley,12
2023,cotton,10
2023,potato,9
2023,tobacco,13
2023,other_crop,2
2023,other_model_organism,11
2023,non_specific,1
2024,arabidopsis,7
2024,rice,3
2024,wheat,4
2024,maize,5
2024,soybean,8
2024,tomato,6
2024,barley,12
2024,cotton,9
2024,potato,10
2024,tobacco,13
2024,other_crop,2
2024,other_model_organism,11
2024,non_specific,1
