topic_id,macro_theme_id,top_words,n_docs
60,0,"qtls, qtl, quantitative trait, loci, trait, candidate genes, trait loci, mapping, candidate, traits",3661
61,0,"kelompok, dosis, ekstrak, kadar, kontrol, dengan, dan, pada, perlakuan, yang",3607
62,4,"doi, error, communicated, crucially, published online, reviewers, metadata, print, deleted, readers",3550
63,0,"essential oil, oil, gcms, oils, essential, constituents, essential oils, pinene, volatile, caryophyllene",3546
64,0,"gm, genetically modified, gmos, genetically, gm crops, biotechnology, modified, gmo, biosafety, modified organisms",3509
65,0,"sc, imidacloprid, insecticides, ec, aiha, benzoate, borer, neem, qha, neem oil",3414
66,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964, animal fungi, source global, global conservation, status animal, information source",3379
67,0,"antioxidant, antioxidant activity, dpph, scavenging, radical, radical scavenging, phenolic, total phenolic, ic50, extracts",3374
68,0,"sementes, teste, gua, temperatura, armazenamento, horas, vigor, das, porcentagem, foram",3355
69,0,"oils, mortality, insecticidal, essential oils, maculatus, essential oil, lc50, oil, extracts, essential",3325
70,0,"mirnas, mirna, micrornas, rnas, target genes, target, small rnas, noncoding, targets, small rna",3308
71,24,"korea, korean, landscape, taxa, densiflora, mt, forest, japonica, stream, wetland",3217
72,0,"varieties, variety, tha, winter, wheat varieties, gluten, grain, triticale, wheat, winter wheat",3108
73,0,"13nthe, icrisat, pigeonpea, groundnut, farmers, pearl, millet, chickpea, project, sorghum",2920
74,0,"mycorrhizal, glomus, amf, mycorrhizal fungi, arbuscular, colonization, arbuscular mycorrhizal, inoculation, mycorrhiza, inoculated",2905
75,0,"gamma, gy, ems, gamma rays, rays, irradiation, irradiated, mutagens, mutagenic, gamma irradiation",2885
76,1,"ozone, o3, air, injury, ambient, emissions, emission, chambers, stomatal, exposure",2852
77,0,"controle, foram, fungos, em, foi, os, com, dias, sementes, efeito",2851
78,4,"content abstract, access, link, provided, available, content, abstract, information, use, summary",2692
79,0,"si, ich, od, ze, na, po, sie, za, lat, ale",2683
80,0,"tes, elements, retrotransposons, transposable, l1, transposable elements, transposons, te, insertions, genome",2683
81,0,"ekstrak, dan, dengan, aktivitas, daun, uji, yang, etanol, metode, menggunakan",2674
82,5,"international rice, rice research, publication, scientists, rice based, densely populated, production rice, rice rice, populated, primary objective",2626
83,0,"drug, formulation, tablets, formula, cream, release, gel, viscosity, formulations, delivery",2580
84,1,"photoperiod, flower, buds, flowering, photoperiods, temperature, night, bud, temperatures, daylength",2579
85,0,"pharmacological, pharmacological activities, medicinal, medicine, antiinflammatory, phytochemistry, phytochemical, traditional, antidiabetic, hepatoprotective",2546
86,0,"rhizosphere, microbiome, microbial, bacterial, communities, microbial communities, community, microbial community, microbiota, rhizosphere soil",2540
87,0,"mobile phase, flow rate, column, wavelength, mobile, hplc, rsd, c18, hplc method, determination",2524
88,14,"russian, russia, fertilizers, article, article presents, beet, sugar beet, agroindustrial, mineral fertilizers, agricultural",2521
89,0,"consumers, organic food, consumer, organic, purchase, organic products, pay, food, willingness, products",2503
90,0,"heterosis, combining ability, crosses, sca, gca, parents, combining, gene action, nonadditive, additive",2401
91,0,"cassava, farmers, respondents, income, marketing, cost, farming, processors, adoption, nigeria",2395
92,1,"chromosomes, karyotype, chromosome, heterochromatin, 2n, pair, pairs, chromosomal, cytogenetic, diploid",2374
93,0,"pollinators, pollinator, pollination, bees, floral, bee, pollen, nectar, flowers, visitors",2316
94,0,"meristem, floral, meristems, organ, stem cell, sam, primordia, arabidopsis, patterning, shoot apical",2315
95,4,"datasets, dataset, terms dataset, licensed restrictive, restrictive terms, included download, download licensed, individual datasets, datasets included, details data",2296
96,0,"rootstocks, rootstock, trees, cherry, apple, m9, grafted, plum, cultivars, fruit",2273
97,3,"vol, pp, torrey, journal, club, mar, bulletin, dec, jul, apr",2255
98,1,"mn, fe, zn, chlorosis, corn, yields, broadcast, deficiency, fertilizer, tillage",2213
99,0,"flavus, aflatoxin, aspergillus, aflatoxins, aspergillus flavus, parasiticus, penicillium, contamination, ochratoxin, b1",2190
100,0,"trichomes, anatomical, epidermis, pollen, stomata, epidermal, glandular, pollen grains, shape, scanning electron",2181
101,0,"phytoplasma, 16s, yellows, subgroup, candidatus, rflp, nested, nested pcr, pcr, witches",2145
102,0,"trabajo, mayo, del, en el, al, en, conference, congress, poster, el",2130
103,4,"poland, includes records, containing species, country, records constituent, alien, dataset, switzerland, query taxonkey, constituent datasets",2091
104,1,"rna, replication, viral, translation, movement, virus, rnas, mosaic virus, coat protein, mosaic",2040
105,1,"ft, jul, rows, sprayer, jun, aug, row, psi, treatments applied, plots",2014
106,0,"aegypti, mosquito, aedes, larvae, aedes aegypti, mosquitoes, lc50, culex, anopheles, repellent",1977
107,0,"poisoning, patients, organophosphorus, organophosphate, atropine, op, acute, cholinesterase, patient, hospital",1948
108,0,"forest, diversity index, ivi, vegetation, diversity, value index, species diversity, tree species, tree, dbh",1944
109,0,"fertilizer, fertilization, nitrogen fertilizer, nitrogen, application, fertilizer application, potassium, nitrogen application, k2o, application rate",1928
110,0,"metals, pb, cd, heavy metals, heavy, cr, cu, metal, vegetables, ni",1925
111,0,"seleo, gentica, gros, foram, os, populao, para, entre, altura, nmero",1923
112,0,"light, lighting, blue, led, lamps, blue light, red blue, hps, light sources, lettuce",1923
113,0,"bioenergy, feedstock, energy, biofuel, switchgrass, biofuels, biomass, emissions, fuels, fuel",1922
114,29,"att, av, som, med, har, till, fr, kan, den, om",1878
115,0,"rats, liver, mgkg, extract, toxicity, acute, wistar, hepatoprotective, kidney, dose",1872
116,0,"recombinant, vaccines, vaccine, recombinant proteins, transgenic, antibody, antibodies, antigen, recombinant protein, antigens",1862
117,0,"vase, vase life, cut, cut flowers, flowers, life, sucrose, flower, preservative, cut flower",1858
118,1,"glyphosate, dicamba, herbicides, pre, glufosinate, injury, herbicide, post, postemergence, aiha",1840
119,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964, animal fungi, source global, global conservation, status animal, information source",1839
120,0,"prairie, county, vegetation, flora, vascular, floristic, oak, taxa, park, communities",1826
121,6,"score, crossref, updated, attention, text, article, share, agric, reuse, advertisement",1819
122,2,"inra, fra, document, diffusion, centre, du, montpellier, unit, station, bordeaux",1817
123,0,"extrato, atividade, frente, compostos, foi, folhas, contra, os, foram, apresentou",1796
124,0,"fertilizers, tha, mineral fertilizers, crop rotation, tillage, rotation, plowing, winter wheat, mineral, chernozem",1790
125,0,"landscape, park, parks, temple, korea, plan, urban, korean, city, planning",1750
126,0,"conidia, powdery, phytophthora, mildew, powdery mildew, inoculated, symptoms, genbank, pda, pathogenicity",1726
127,4,"specimen, global biodiversity, natural history, claims, facility, data collected, biodiversity, andor, history, global",1716
128,0,"bird, birds, bird species, habitat, deer, park, elephant, nest, nesting, individuals",1715
129,1,"ethephon, paclobutrazol, thinning, bloom, sprays, naa, ppm, fruit, ga, ba",1697
130,4,"false, datasets, dataset, terms dataset, licensed restrictive, restrictive terms, included download, download licensed, individual datasets, datasets included",1646
131,0,"ache, acetylcholinesterase, nerve, atropine, brain, cholinesterase, organophosphorus, reactivation, poisoning, parathion",1639
132,0,"solubilization, phosphate, isolates, solubilizing, growth promoting, iaa, pgpr, rhizobacteria, bacillus, plant growth",1605
133,0,"phytase, pectinase, enzyme, fermentation, phytate, polygalacturonase, uml, niger, aspergillus, ph",1604
134,0,"machine learning, machine, learning, prediction, crop yield, algorithms, random forest, crop, accuracy, data mining",1595
135,0,"antagonistic, bacillus, biocontrol, streptomyces, strain, subtilis, strains, isolates, antifungal, endophytic",1570
136,0,"oocytes, embryos, oocyte, activation, porcine, maturation, embryonic, cleavage, mouse, activated",1568
137,0,"methylation, dna methylation, epigenetic, dna, pol, cytosine, methylated, demethylation, silencing, cg",1560
138,0,"controle, aplicao, glyphosate, plantas, daa, tratamentos, cultura, aplicados, ia, das plantas",1540
139,0,"intercropping, sole, row, pigeonpea, equivalent, intercropped, intercropping systems, intercrop, maize, cowpea",1534
140,0,"substrates, substrate, seedlings, manure, cattle manure, dry mass, fertilization, compost, doses, randomized",1526
141,1,"clover, grazing, herbage, ryegrass, white clover, pasture, pastures, perennial ryegrass, perennial, fescue",1484
142,0,"extraction, orthogonal, extracting, ultrasonic, extraction rate, extraction time, extraction conditions, extraction process, polysaccharide, total flavonoids",1483
143,27,"information given, abstract new, distribution map, geographical distribution, america, oceania, lauraceae, geographical, republic, south",1483
144,0,"mda, sod, mda content, low temperature, proline, cold resistance, cat, soluble, soluble sugar, drought",1476
145,14,"x0d, x0d x0d, 100, nbsp, rcbd, 2016, 10, 15, stations, harzianum",1474
146,0,"yield plant, pods plant, seed yield, pod, pods, genetic advance, number pods, heritability, branches plant, plant number",1471
147,4,"issue, previous, date, available, 581, fernando, 2012, gomes, 2002, 2011",1467
148,0,"ve, bu, bir, ile, ise, alan, ili, tum, hem, organik",1462
149,4,"states america, country, america, united states, united, states, continent, datasets, north america, alien",1456
150,0,"robot, robotic, navigation, autonomous, picking, harvesting, vehicle, path, algorithm, tasks",1449
151,10,"tail, rounded, lip, new species, sp, long, anterior, body, terminus, posterior",1447
152,3,"isbn, pp, press, edited, issue, university press, volume, london, cambridge, price",1440
153,0,"aflatoxin, afb1, chicks, don, feed, contaminated, broiler, af, liver, chickens",1438
154,0,"ha1, fym, kg ha1, npk, rice, kg, nutrient management, straw yield, panicle, kharif",1434
155,0,"dia, grupo, animais, dias, grupos, aps, p4, foram, raa, horas",1419
156,0,"recoveries, pesticides, relative standard, cleanup, extraction, determination, acetonitrile, solidphase, spiked, limits",1403
157,6,"oxford, academic, japan, google scholar, scholar, google, works, author, published 01, chemistry",1393
158,0,"az, nem, mint, kt, ki, es, ami, mind, gy, ill",1393
159,0,"week, relative humidity, minimum temperature, maximum temperature, humidity, population, aphid, correlation, peak, thrips",1355
160,0,"ammi, stability, genotype environment, genotype, environments, biplot, gge, genotypes, environment interaction, stable",1347
161,0,"statistical, models, likelihood, designs, variance, regression, multivariate, metaanalysis, random, generalized",1331
162,0,"ppm, ga3, naa, flower, 100 ppm, 200 ppm, growth regulators, 150 ppm, maximum, cm",1317
163,24,"ata, cer, ca, gm2, mh, 23, 11, mcp, 31, tps",1312
164,6,"entomology, pubmed google, oxford, pubmed, academic, google scholar, scholar, published 01, google, works",1311
165,0,"synthesis, reaction, intramolecular, ring, steps, chiral, rearrangement, syntheses, asymmetric, coupling",1289
166,6,"oxford, academic, pubmed google, google scholar, scholar, google, published 01, pubmed, works, author",1273
167,0,"brazilian, exports, brazil, logistics, companies, competitiveness, trade, sector, market, transportation",1268
168,0,"file, files, br, code, polygon, maps, contains, format, script, csv",1254
169,0,"jenis, di, spesies, yang, dan, pada, penelitian, indeks, dengan, untuk",1253
170,0,"fungal, communities, community composition, amf, ecm, community, mycorrhizal, ectomycorrhizal, richness, fungi",1245
171,0,"populations, gene flow, dispersal, genetic structure, genetic, genetic diversity, glacial, diversification, differentiation, genetic differentiation",1243
172,0,"fatty, oil, oleic, linoleic, fatty acid, fatty acids, oils, palmitic, oleic acid, acids",1236
173,0,"germination rate, germination, seed germination, seeds, soaking, dormancy, seed, stratification, germination percentage, ga3",1235
174,0,"phytochrome, hypocotyl, light, photomorphogenesis, farred, blue light, photoreceptor, blue, uvb, hypocotyl elongation",1231
175,29,"og, er, til, av, af, med, som, har, fra, kan",1230
176,0,"aluminum, aluminium, bone, patients, dialysis, renal, alzheimers, alzheimers disease, al, brain",1228
177,0,"circadian, clock, rhythms, rhythm, rhythmic, oscillations, circadian rhythm, feedback, loops, arabidopsis",1226
178,14,"13n, x0d, x0d x0d, robur, altissima, salix, epilobium, sylvestris, 10 10, germination plant",1188
179,1,"co2, elevated, elevated co2, ambient, photosynthesis, mol, photosynthetic, respiration, mol1, stomatal",1177
180,0,"gaba, fermentation, lactobacillus, lactic acid, lactic, fermented, acid bacteria, lab, plantarum, glutamate",1162
181,0,"derivatives, herbicidal, synthesized, compound, compounds, antifungal, structureactivity, antiviral, series, fungicidal",1150
182,0,"gm, gmo, pcr, genetically modified, genetically, gmos, detection, modified, dna, realtime",1145
183,0,"pain, placebo, patients, depression, johns wort, st johns, johns, wort, herbal, anxiety",1145
184,0,"eggs, female, larval, instar, pupal, days respectively, adult, fecundity, longevity, instars",1132
185,0,"je, pro, tak, na, se, ale, dale, ze, za, po",1128
186,3,"bulletin, france, pp, col, volume, note, sur, genre, description, du",1125
187,0,"quercus, densiflora, mongolica, community, pinus, pinus densiflora, forest, serrata, species diversity, vegetation",1123
188,0,"uvb, uvb radiation, radiation, uv, uva, uv radiation, kj, enhanced, solar, ozone",1110
189,0,"proceedings, symposium, compendium, guide, handbook, encyclopedia, international symposium, dictionary, international, principles",1105
190,0,"forests, forest, disturbance, climate, tree, fires, mortality, burned, tree growth, stands",1091
191,0,"genome sequence, genome, phage, draft, strain, gc content, complete genome, strains, xanthomonas, bp",1082
192,0,"networks, coexistence, dynamics, interactions, network, mutualistic, theory, ecological, webs, extinction",1081
193,0,"brasilense, com, crescimento, seca, bradyrhizobium, azospirillum, solo, parte, tratamentos, em",1075
194,0,"cluster, clusters, divergence, genetic divergence, d2, genotypes, distance, iv, vi, grouped",1072
195,0,"covers, identity, affected, distribution, natural enemies, enemies, information, biology ecology, ecology, biology",1071
196,0,"malaria, anopheles, mosquito, mosquitoes, vector, aedes, cx, vectors, ae, culex",1068
197,0,"ve, ile, bu, ise, alma, bir, kk, iin, ya, says",1063
198,4,"includes records, containing species, country, records constituent, poland, switzerland, alien, dataset, query taxonkey, constituent datasets",1062
199,0,"bt, thuringiensis, bacillus thuringiensis, toxins, corn, bt cotton, insecticidal, larvae, refuge, toxin",1062
200,15,"hosting, web, provider, domain, free, shopping, click, phone, 247, setup",1057
201,1,"hydraulic, xylem, vulnerability, conductance, hydraulic conductivity, vessel, conductivity, stomatal, water potential, nsc",1056
202,10,"sieve, phloem, bundles, parenchyma, vascular, cells, xylem, cambium, parenchyma cells, strands",1050
203,0,"degs, drought, drought stress, differentially, differentially expressed, stress, expressed genes, salt, tolerance, transcriptome",1048
204,26,"amp, ex, benth, dc, kunth, mart, willd, amaranthus, zanthoxylum, rubus",1043
205,0,"adults, mortality, castaneum, larvae, dominica, tribolium, beetle, eggs, adult, pupae",1038
206,0,"polysaccharide, polysaccharides, galactose, molecular weight, monosaccharide, mannose, arabinose, composed, extraction, chromatography",1036
207,1,"dormancy, germination, stratification, seeds, germinated, germinate, temperatures, seed, seed dormancy, dormant",1035
208,0,"radioactive, accident, activity concentrations, transfer, contamination, activity concentration, nuclear, radiation, contaminated, radioactivity",1029
209,0,"fulfillment, master, submitted, thesis, partial, science, dhaka, requirements, degree, award",1025
210,0,"salinity, nacl, proline, salt, salt stress, mm nacl, stress, antioxidant enzymes, peroxidase, salinity stress",1017
211,0,"algal, microalgae, algae, aeruginosa, cyanobacteria, cyanobacterial, aquatic, blooms, photosynthetic, chlorella",1017
212,0,"amf, glomus, spore, mycorrhizal, arbuscular, colonization, spores, arbuscular mycorrhizal, mycorrhizal fungi, fungi",1007
213,1,"strains, pv, syringae, soft rot, isolates, symptoms, bacterial, pathogenicity, solanacearum, colonies",1005
214,5,"rice research, scientists, international rice, notes, research reported, communicate, research findings, meant, concise, expedite",1004
215,0,"subunits, gliadin, subunit, alleles, wheat, gluten, high molecular, allelic, dough, allele",999
216,1,"chromosome, chromosomes, pairing, common wheat, rye, translocation, ae, aegilops, wheat, situ hybridization",999
217,0,"based original, dataset contains, hemiptera, doi, digitized, cicadellidae, journal article, new species, original, journal",993
218,0,"selection, crosses, recurrent selection, recurrent, cycles, lines, genetic variance, populations, additive, parents",986
219,14,"9000, 10000, 20000, 15000, 8000, 2012, larix, x0d, 2019, 2016",986
220,0,"curso, universidade, paraiba, universidade estadual, estadual, campina, cear, tese, ceara, ciencias",981
221,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964, animal fungi, source global, global conservation, status animal, information source",980
222,1,"promoter, gus, promoters, reporter gene, reporter, expression, betaglucuronidase, upstream, bp, transgenic",980
223,1,"transformation, agrobacterium, gus, explants, transgenic, tumefaciens, agrobacteriummediated, cocultivation, genetic transformation, bombardment",978
224,0,"land cover, land, landsat, forest, cover, deforestation, fires, vegetation, land use, ndvi",974
225,0,"aflatoxin, aflatoxins, gkg, contamination, mycotoxins, b1, afb1, aflatoxin b1, samples, ppb",974
226,0,"read, authors, page, figure, corrected, article, fig, correct, incorrectly, error",969
227,4,"carex, datasets, dataset, terms dataset, query taxonkey, licensed restrictive, restrictive terms, download licensed, included download, individual datasets",969
228,0,"pigs, sid, diets, exp, lys, fed, gf, diet, meal, aa",967
229,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964, animal fungi, source global, global conservation, status animal, information source",963
230,0,"leite, amostras, ccs, staphylococcus, aureus, animais, resistncia, clulas, foram, casos",962
231,21,"consciousness, brain, conscious, cognition, cognitive, mind, theory, neurons, nervous, lattice",953
232,0,"wound, healing, wound healing, wounds, burns, burn, healing process, gel, rats, incision",944
233,4,"states america, country, datasets, alien, dataset, terms dataset, query taxonkey, canada, restrictive terms, licensed restrictive",941
234,0,"ros, nitric, nitric oxide, reactive, oxide, reactive oxygen, oxygen species, redox, h2o2, species ros",938
235,0,"cuttings, iba, rooting, cutting, propagation, number roots, stem cuttings, rooted, ppm, vegetative propagation",924
236,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964, animal fungi, source global, global conservation, status animal, information source",921
237,0,"space, missions, iss, mars, support systems, support, nasa, life, mission, closed",908
238,0,"weed, weed management, weeds, herbicide, herbicides, weed control, herbicide resistance, glyphosate, management, weed species",903
239,0,"wine, climate, viticulture, phenological, viticultural, climate change, vineyard, grape, vineyards, wine production",901
240,0,"gm, genetically modified, consumers, attitudes, genetically, foods, gmos, modified, biotechnology, acceptance",899
241,0,"ecological, landscape, ecosystem, land, land use, ecological environment, security, spatial, ecosystem services, services",893
242,0,"climate, climate change, rainfall, scenarios, change, yields, precipitation, future climate, projections, projected",890
243,0,"endogenous, human, gag, ltr, cancer, envelope, genome, sequences, elements, genomes",888
244,6,"score, crossref, updated, attention, text, article, share, reuse, advertisement, quantitative measure",884
245,0,"nanoparticles, silver nanoparticles, silver, nps, synthesized, xrd, zno, ftir, spectroscopy, nm",880
246,0,"aflatoxins, aflatoxin, b1, recoveries, cleanup, column, b2, ngg, aflatoxin b1, spiked",876
247,10,"nov, sp nov, new species, described illustrated, china, illustrated, genus, sp, species genus, described",868
248,0,"allergens, allergy, allergen, pollen, allergic, patients, bet, birch, sensitization, allergenic",865
249,4,"states america, country, datasets, alien, dataset, terms dataset, query taxonkey, restrictive terms, licensed restrictive, download licensed",864
250,0,"wines, wine, grapes, grape, anthocyanins, phenolic, grape varieties, sauvignon, cabernet, cabernet sauvignon",855
251,1,"type strain, strain, novel species, sp nov, nov, rrna gene, 16s rrna, rrna, 16s, gene sequence",853
252,0,"germination, seed germination, salt, nacl, germination rate, peg, salt tolerance, vigor, germination seedling, drought resistance",851
253,0,"ciencias, universidad, instituto, costa rica, rica, costa, doctoral, nacional, madrid, departamento",848
254,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964, animal fungi, source global, global conservation, status animal, information source",847
255,0,"antimalarial, plasmodium, falciparum, malaria, ic50, extracts, mice, microgml, parasite, gml",842
256,0,"diabetes, antidiabetic, obesity, mellitus, diabetes mellitus, cardiovascular, insulin, complications, diabetic, atherosclerosis",834
257,0,"diabetic, blood glucose, rats, glucose, diabetes, glucose levels, blood, insulin, antidiabetic, mellitus",830
258,6,"chemists, article report, february 2020, official, journal, journal article, food drug, associate, pages, oxford",829
259,0,"trichoderma, harzianum, viride, trichoderma spp, solani, antagonistic, isolates, trichoderma harzianum, biocontrol, virens",828
260,22,"mr, miles, county, specimens, writer, birds, lake, herbarium, dr, feet",826
261,0,"bred, committee, variety, average yield, academy agricultural, crop variety, peanut, approval, regional, jilin",826
262,4,"datasets, dataset, terms dataset, restrictive terms, licensed restrictive, included download, download licensed, individual datasets, datasets included, details data",822
263,1,"karyotype, chromosome, 2n, chromosome numbers, chromosome number, chromosomes, numbers, diploid, asymmetry, 2x",819
264,0,"fusarium, graminearum, fusarium species, don, culmorum, head blight, deoxynivalenol, verticillioides, mycotoxins, fusarium spp",810
265,0,"iron, fe, cd, deficiency, homeostasis, transporter, metal, zn, iron deficiency, cu",810
266,0,"apresentada, universidade, universidade federal, curso, para obteno, lavras, dissertao, programa, federal, obteno",807
267,0,"dna, dna extraction, ctab, genomic dna, extraction, dna isolation, genomic, dna extracted, protocol, pcr",802
268,6,"queries, notes, oxford, academic, mller, google scholar, page, scholar, google, issue",798
269,0,"carbendazim, fungicides, mancozeb, wp, tebuconazole, propiconazole, azoxystrobin, cent, pdi, mycelial growth",792
270,3,"pp, anne, jean, alpine, du, n4, pierre, france, andr, paul",790
271,0,"analgesic, paw, antiinflammatory, mgkg, pain, acetic, antiinflammatory activity, carrageenan, oedema, edema",790
272,29,"av, att, har, som, med, till, fr, kan, ar, pa",785
273,0,"uf, sheet, florida, department, written, fact, published, revised, citrus production, illustrated",772
274,6,"teacher, search, icon, biology, cite, american, views, citation, contentthe, pdf",770
275,0,"shading, photosynthetic, net photosynthetic, pn, photosynthetic rate, light, diurnal, compensation, saturation, light intensity",763
276,21,"education, students, special, school, schools, teachers, student, educational, services, children",761
277,6,"score, crossref, updated, pdf, attention, text, article, agric, share, advertisement",759
278,0,"selenium, atomic, inductively coupled, inductively, atomic absorption, nitrite, determination, aluminum, nitrates, coupled plasma",754
279,0,"tecnologia, engenharia, cincia, extenso, brasileiro, cientfica, internacional, pesquisa, avaliao, sade",748
280,4,"issue, previous, date, available, tese, silva, ana, rafael, pereira, jose",746
281,0,"milling, rice, cooking, brown rice, milled, cooked, amylose, drying, milled rice, paddy",744
282,10,"new species, stipe, hyphae, phylogenetic, phylogenetic analyses, hyphal, characterized, described illustrated, sp nov, based morphological",743
283,0,"crop variety, hybrid rice, restorer, committee, line, appraisal, hybrid, fujian, grain quality, cms",741
